Date,AAPL,MSFT,QQQ,SPY,TLT
2023-03-24,157.96157836914062,274.07928466796875,305.4715270996094,380.83258056640625,94.03727722167969
2023-03-27,156.01971435546875,269.9861755371094,303.3786315917969,381.544677734375,91.8282241821289
2023-03-28,155.39871215820312,268.86285400390625,301.7672424316406,380.6882629394531,91.99547576904297
2023-03-29,158.47415161132812,274.0206604003906,307.2696533203125,386.2215270996094,91.81063079833984
2023-03-30,160.0414581298828,277.478759765625,310.1780090332031,388.48291015625,92.23306274414062
2023-03-31,162.54518127441406,281.63043212890625,315.3365478515625,393.95843505859375,93.61479949951172
2023-04-03,163.79701232910156,280.585205078125,314.57012939453125,395.4595947265625,94.05509185791016
2023-04-04,163.26475524902344,280.53631591796875,313.5090026855469,393.2655944824219,94.52274322509766
2023-04-05,161.42147827148438,277.7619934082031,310.41387939453125,392.2359313964844,95.51092529296875
2023-04-06,162.3086395263672,284.85406494140625,312.5066833496094,393.7660217285156,95.7579574584961
2023-04-10,159.71617126464844,282.69525146484375,312.32989501953125,394.1701354980469,94.21392059326172
2023-04-11,158.50375366210938,276.2869873046875,310.3254699707031,394.27593994140625,94.40800476074219
2023-04-12,157.81378173828125,276.9317321777344,307.5841064453125,392.6689453125,94.3109359741211
2023-04-13,163.1957550048828,283.1347961425781,313.60723876953125,397.8846435546875,93.56981658935547
2023-04-14,162.85076904296875,279.5204162597656,313.01763916015625,396.9127197265625,92.71398162841797
2023-04-17,162.8704833984375,282.11883544921875,313.282958984375,398.3369140625,91.611083984375
2023-04-18,164.0927734375,281.69879150390625,313.3026123046875,398.59674072265625,91.9375228881836
2023-04-19,165.2362060546875,281.7770080566406,313.1552734375,398.5293884277344,91.84930419921875
2023-04-20,164.2701873779297,279.4910888671875,310.767578125,396.3546447753906,92.6345443725586
2023-04-21,162.66346740722656,279.1492004394531,311.09185791015625,396.6625671386719,92.11398315429688
2023-04-24,162.9690399169922,275.25146484375,310.4433898925781,397.0763854980469,93.0051498413086
2023-04-25,161.4313201904297,269.04840087890625,304.58721923828125,390.7731628417969,94.37271881103516
2023-04-26,161.42147827148438,288.5368957519531,306.4344482421875,389.1180114746094,93.36685180664062
2023-04-27,166.00506591796875,297.7779846191406,314.7666931152344,396.8645935058594,92.44044494628906
2023-04-28,167.25689697265625,300.15185546875,316.93817138671875,400.2518615722656,93.93155670166016
2023-05-01,167.16822814941406,298.49114990234375,316.5746154785156,399.8477478027344,91.22306823730469
2023-05-02,166.1332244873047,298.3446350097656,313.81353759765625,395.3537902832031,93.49635314941406
2023-05-03,165.0587921142578,297.3580017089844,311.7599792480469,392.64007568359375,94.01824951171875
2023-05-04,163.42247009277344,298.3446350097656,310.6595458984375,389.8590087890625,93.0894775390625
2023-05-05,171.0913848876953,303.46337890625,317.26239013671875,397.0763854980469,92.77991485595703
2023-05-08,171.02235412597656,301.5096740722656,318.04840087890625,397.1821594238281,91.4795913696289
2023-05-09,169.3170928955078,299.8978271484375,316.0342102050781,395.4403381347656,91.15232849121094
2023-05-10,171.08152770996094,305.0849914550781,319.47314453125,397.2880554199219,92.03687286376953
2023-05-11,171.26882934570312,302.9358825683594,320.5147399902344,396.59515380859375,93.00985717773438
2023-05-12,170.34092712402344,301.822265625,319.3650817871094,396.0754699707031,92.2314682006836
2023-05-15,169.84742736816406,302.3009338378906,321.0943908691406,397.4419860839844,91.2761459350586
2023-05-16,169.84742736816406,304.52813720703125,321.45794677734375,394.7860107421875,91.00196075439453
2023-05-17,170.45938110351562,307.40643310546875,325.3489685058594,399.5783386230469,90.73660278320312
2023-05-18,172.78892517089844,311.83148193359375,331.3917236328125,403.42755126953125,90.0643310546875
2023-05-19,172.89749145507812,311.65533447265625,330.64501953125,402.84051513671875,89.42744445800781
